name,imageURL,scientific_name,description,origin,growing_conditions,planting_info,care_instructions,storage_info,nutritional_info,culinary_info
Tomato,https://images.pexels.com/photos/1327838/pexels-photo-1327838.jpeg,Solanum lycopersicum,"Edible fruit, typically red, with a juicy flesh.",South America,"Warm, sunny conditions",Sow seeds directly or transplant seedlings.,"Water regularly, harvest when ripe and firm.",Refrigerate.,"Vitamins A, C, lycopene.","Salads, sauces, cooked dishes"
Spinach,https://images.pexels.com/photos/3298064/pexels-photo-3298064.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Spinacia oleracea,Leafy green vegetable rich in vitamins and minerals.,Persia,"Cool, well-drained soil",Sow seeds directly or transplant seedlings.,"Water regularly, harvest leaves as needed.",Refrigerate in a plastic bag.,"Vitamins A, C, K, iron, folate.","Salads, soups, cooked greens."
Okra,https://images.pexels.com/photos/2583187/pexels-photo-2583187.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Abelmoschus esculentus,Pod vegetable with a slightly slimy texture.,Ethiopia,"Warm, sunny conditions",Sow seeds directly after last frost.,"Water regularly, harvest pods when young.",Refrigerate or freeze.,"Vitamins A, C, K, fiber.","Gumbo, stews, fried okra."
Mint,https://images.pexels.com/photos/4621597/pexels-photo-4621597.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Mentha spp.,Aromatic herb with a cooling sensation.,Mediterranean,"Cool, moist soil",Plant cuttings or divisions.,"Water regularly, harvest leaves as needed.",Refrigerate or dry.,"Vitamins A, C, iron.","Mints, teas, sauces."
Chilli,https://images.pexels.com/photos/2894234/pexels-photo-2894234.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Capsicum annuum,Spicy fruit used for flavoring.,Americas,"Warm, sunny conditions","Sow seeds indoors, transplant seedlings.","Water regularly, harvest when ripe.","Dry, pickle, or freeze.","Vitamins A, C, capsaicin.","Curries, sauces, spicy dishes."
Brinjal,https://images.pexels.com/photos/321551/pexels-photo-321551.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Solanum melongena,Fleshy fruit used as a vegetable.,India,"Warm, sunny conditions","Sow seeds indoors, transplant seedlings.","Water regularly, harvest when glossy.",Refrigerate.,"Vitamins K, fiber, antioxidants.","Curries, stews, roasted."
Cucumber,https://images.pexels.com/photos/2329440/pexels-photo-2329440.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Cucumis sativus,Hydrating fruit eaten fresh or pickled.,India,"Warm, sunny conditions",Sow seeds directly or transplant seedlings.,"Water regularly, harvest when mature.",Refrigerate.,"Vitamins K, C, potassium.","Salads, pickles, sandwiches."
Coriander,https://images.pexels.com/photos/3338495/pexels-photo-3338495.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Coriandrum sativum,Aromatic herb with a citrusy flavor.,Mediterranean,"Cool, moist soil",Sow seeds directly.,"Water regularly, harvest leaves and seeds.",Refrigerate or dry.,"Vitamins A, C, K.","Curries, salsas, garnishes."
Radish,https://images.pexels.com/photos/191043/pexels-photo-191043.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Raphanus sativus,Crisp root vegetable with a peppery flavor.,Asia,"Cool, well-drained soil",Sow seeds directly.,"Water regularly, harvest when mature.",Refrigerate.,"Vitamins C, fiber.","Salads, snacks."
Beans,https://images.pexels.com/photos/3004798/pexels-photo-3004798.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Phaseolus vulgaris,Legumes rich in protein and fiber.,Americas,"Warm, sunny conditions",Sow seeds directly after last frost.,"Water regularly, harvest when pods are tender.",Refrigerate or freeze.,"Protein, fiber, iron.","Soups, stews, side dishes."
Pumpkin,https://images.pexels.com/photos/265258/pexels-photo-265258.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Cucurbita pepo,"Large, orange fruit used in pies and soups.",North America,"Warm, sunny conditions",Sow seeds directly or transplant seedlings.,"Water regularly, harvest when mature.","Store in a cool, dry place.","Vitamins A, C, potassium.","Pies, soups, roasted."
Bottle Gourd,https://images.pexels.com/photos/27548029/pexels-photo-27548029/free-photo-of-a-gourd-hanging-from-a-vine-with-leaves.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Lagenaria siceraria,"Long, green vegetable with a mild flavor.",Africa,"Warm, sunny conditions",Sow seeds directly.,"Water regularly, harvest when mature.","Store in a cool, dry place.","Vitamins C, fiber.","Curries, soups, juices."
Fenugreek,https://images.pexels.com/photos/5987968/pexels-photo-5987968.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Trigonella foenum-graecum,Herb with a maple-like aroma and flavor.,Mediterranean,"Cool, well-drained soil",Sow seeds directly.,"Water regularly, harvest leaves and seeds.",Dry.,"Vitamins, minerals.","Curries, teas, medicinal uses."
Carrot,https://images.pexels.com/photos/65174/pexels-photo-65174.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Daucus carota subsp. sativus,Root vegetable rich in beta-carotene.,Asia,"Cool, well-drained soil",Sow seeds directly.,"Water regularly, harvest when mature.",Refrigerate.,"Vitamins A, K, fiber.","Salads, soups, snacks."
Lemon,https://images.pexels.com/photos/129574/pexels-photo-129574.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Citrus limon,"Citrus fruit with a sour, acidic flavor.",Asia,"Warm, sunny conditions",Plant seedlings or cuttings.,"Water regularly, harvest when ripe.",Refrigerate.,"Vitamin C, citric acid.","Juices, sauces, flavoring."
Banana,https://images.pexels.com/photos/1093038/pexels-photo-1093038.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Musa acuminata,Tropical fruit rich in potassium.,Southeast Asia,"Warm, humid conditions",Plant suckers or tissue culture plants.,"Water regularly, harvest when mature.",Store at room temperature.,"Potassium, vitamin B6, fiber.","Eaten raw, smoothies, baked goods."
Papaya,https://images.pexels.com/photos/4113834/pexels-photo-4113834.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Carica papaya,"Tropical fruit with a sweet, juicy flesh.",Central America,"Warm, humid conditions",Plant seedlings.,"Water regularly, harvest when ripe.",Refrigerate.,"Vitamins A, C, papain.","Eaten raw, smoothies, salads."
Ginger,https://images.pexels.com/photos/5202089/pexels-photo-5202089.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Zingiber officinale,"Rhizome with a pungent, spicy flavor.",Southeast Asia,"Warm, humid conditions",Plant rhizomes.,"Water regularly, harvest when mature.",Refrigerate or dry.,"Gingerol, antioxidants.","Curries, teas, medicinal uses."
Turmeric,https://images.pexels.com/photos/12122270/pexels-photo-12122270.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Curcuma longa,Rhizome with a bright yellow color and earthy flavor.,India,"Warm, humid conditions",Plant rhizomes.,"Water regularly, harvest when mature.",Dry.,"Curcumin, antioxidants.","Curries, medicinal uses."
Watermelon,https://images.pexels.com/photos/2894205/pexels-photo-2894205.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Citrullus lanatus,"Hydrating fruit with a sweet, juicy flesh.",Africa,"Warm, sunny conditions",Sow seeds directly or transplant seedlings.,"Water regularly, harvest when ripe.",Refrigerate.,"Vitamins A, C, lycopene.","Eaten raw, juices, salads."
Cauliflower,https://images.pexels.com/photos/6316515/pexels-photo-6316515.jpeg?auto=compress&cs=tinysrgb&w=800,Brassica oleracea var. botrytis,Cruciferous vegetable with a dense head.,Mediterranean,"Cool, well-drained soil","Sow seeds indoors, transplant seedlings.","Water regularly, harvest when head is compact.",Refrigerate.,"Vitamins C, K, fiber.","Roasted, steamed, mashed."
Zucchini,https://images.pexels.com/photos/4750288/pexels-photo-4750288.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Cucurbita pepo,Summer squash with a mild flavor.,Americas,"Warm, sunny conditions",Sow seeds directly.,"Water regularly, harvest when young.",Refrigerate.,"Vitamins C, potassium.","Sautéed, grilled, baked."
Peas,https://images.pexels.com/photos/4750262/pexels-photo-4750262.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Pisum sativum,Legumes rich in protein and fiber.,Mediterranean,"Cool, moist soil",Sow seeds directly.,"Water regularly, harvest when pods are full.",Refrigerate or freeze.,"Protein, fiber, vitamins.","Side dishes, soups, salads."
Kale,https://images.pexels.com/photos/750952/pexels-photo-750952.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Brassica oleracea var. sabellica,Leafy green vegetable rich in vitamins and minerals.,Mediterranean,"Cool, well-drained soil",Sow seeds directly or transplant seedlings.,"Water regularly, harvest leaves as needed.",Refrigerate.,"Vitamins A, C, K, calcium.","Salads, soups, smoothies."
Bell Pepper,https://images.pexels.com/photos/858093/pexels-photo-858093.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Capsicum annuum,Sweet fruit with a crisp texture.,Americas,"Warm, sunny conditions","Sow seeds indoors, transplant seedlings.","Water regularly, harvest when ripe.",Refrigerate.,"Vitamins A, C, E.","Stir-fries, salads, stuffed."
Asparagus,https://images.pexels.com/photos/4397814/pexels-photo-4397814.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Asparagus officinalis,Spear vegetable rich in vitamins and minerals.,Europe,"Cool, well-drained soil",Plant crowns or seedlings.,"Water regularly, harvest spears when tender.",Refrigerate.,"Vitamins A, C, K, folate.","Steamed, grilled, roasted."
Radicchio,https://images.pexels.com/photos/7098654/pexels-photo-7098654.jpeg?auto=compress&cs=tinysrgb&w=800,Cichorium intybus var. foliosum,Leafy vegetable with a bitter flavor.,Italy,"Cool, well-drained soil",Sow seeds directly or transplant seedlings.,"Water regularly, harvest heads when mature.",Refrigerate.,"Vitamins K, C, fiber.","Salads, grilled."
Chard,https://images.pexels.com/photos/5734611/pexels-photo-5734611.jpeg?auto=compress&cs=tinysrgb&w=800,Beta vulgaris subsp. vulgaris,Leafy green vegetable with colorful stalks.,Mediterranean,"Cool, well-drained soil",Sow seeds directly or transplant seedlings.,"Water regularly, harvest leaves as needed.",Refrigerate.,"Vitamins A, C, K, magnesium.","Salads, soups, stir-fries."
Fennel,https://images.pexels.com/photos/5988041/pexels-photo-5988041.jpeg?auto=compress&cs=tinysrgb&w=800,Foeniculum vulgare,Aromatic herb with a licorice-like flavor.,Mediterranean,"Cool, well-drained soil",Sow seeds directly or transplant seedlings.,"Water regularly, harvest bulbs and fronds.",Refrigerate.,"Vitamins C, K, fiber.","Salads, soups, roasted."
Artichoke,https://images.pexels.com/photos/7511831/pexels-photo-7511831.jpeg?auto=compress&cs=tinysrgb&w=800,Cynara cardunculus var. scolymus,"Large, thistle-like flower bud.",Mediterranean,"Cool, well-drained soil",Plant seedlings or divisions.,"Water regularly, harvest buds before flowering.",Refrigerate.,"Vitamins C, K, fiber.","Steamed, grilled, dips."
Sweet Potato,https://images.pexels.com/photos/7456548/pexels-photo-7456548.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Ipomoea batatas,Starchy root vegetable with a sweet flavor.,Central America,"Warm, well-drained soil",Plant slips or cuttings.,"Water regularly, harvest when mature.","Store in a cool, dry place.","Vitamins A, C, fiber.","Baked, roasted, fries."
Taro,https://images.pexels.com/photos/8714736/pexels-photo-8714736.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Colocasia esculenta,Starchy root vegetable with a nutty flavor.,Southeast Asia,"Warm, humid conditions",Plant corms or suckers.,"Water regularly, harvest when mature.",Refrigerate or freeze.,"Fiber, potassium, vitamins.","Boiled, mashed, fried."
Nasturtium,https://images.pexels.com/photos/9946797/pexels-photo-9946797.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Tropaeolum majus,Edible flower with a peppery flavor.,South America,"Cool, well-drained soil",Sow seeds directly.,"Water regularly, harvest flowers and leaves.",Refrigerate.,"Vitamin C, antioxidants.","Salads, garnishes."
Sage,https://images.pexels.com/photos/10160143/pexels-photo-10160143.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Salvia officinalis,Aromatic herb with a savory flavor.,Mediterranean,"Cool, well-drained soil",Plant seedlings or cuttings.,"Water regularly, harvest leaves as needed.",Refrigerate or dry.,"Vitamins K, antioxidants.","Stuffing, sauces, roasted meats."
Thyme,https://images.pexels.com/photos/4198139/pexels-photo-4198139.jpeg,Thymus vulgaris,Aromatic herb with a minty flavor.,Mediterranean,"Cool, well-drained soil",Plant seedlings or cuttings.,"Water regularly, harvest leaves as needed.",Refrigerate or dry.,"Vitamins C, K, iron.","Soups, stews, roasted vegetables."
Oregano,https://mybageecha.com/cdn/shop/products/oregano_cleopatra-origanum_1.jpg?v=1571438614,Origanum vulgare,Aromatic herb with a pungent flavor.,Mediterranean,"Cool, well-drained soil",Plant seedlings or cuttings.,"Water regularly, harvest leaves as needed.",Refrigerate or dry.,"Vitamins K, E, iron.","Italian dishes, sauces, pizza."
Lavender,https://images.pexels.com/photos/4997806/pexels-photo-4997806.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Lavandula angustifolia,Aromatic herb with a floral fragrance.,Mediterranean,"Cool, well-drained soil",Plant seedlings or cuttings.,"Water regularly, harvest flowers.",Dry.,"Essential oils, aromatherapy.","Baked goods, teas."
Chives,https://images.pexels.com/photos/446280/pexels-photo-446280.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Allium schoenoprasum,Aromatic herb with a mild onion flavor.,Europe,"Cool, well-drained soil",Plant seedlings or divisions.,"Water regularly, harvest leaves as needed.",Refrigerate.,"Vitamins A, C, K.","Garnishes, dips, salads."
Parsley,https://images.pexels.com/photos/7890039/pexels-photo-7890039.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Petroselinum crispum,Aromatic herb with a fresh flavor.,Mediterranean,"Cool, well-drained soil",Sow seeds directly or transplant seedlings.,"Water regularly, harvest leaves as needed.",Refrigerate.,"Vitamins A, C, K.","Garnishes, sauces, salads."
Borage,https://images.pexels.com/photos/30644749/pexels-photo-30644749/free-photo-of-close-up-of-vibrant-blue-borage-flower.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Borago officinalis,Herb with edible blue flowers.,Mediterranean,"Cool, well-drained soil",Sow seeds directly.,"Water regularly, harvest flowers and leaves.",Refrigerate.,"Vitamins A, C, potassium.","Salads, garnishes."
Cabbage,https://images.pexels.com/photos/134877/pexels-photo-134877.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Brassica oleracea var. capitata,Leafy vegetable with a dense head.,Europe,"Cool, well-drained soil","Sow seeds indoors, transplant seedlings.","Water regularly, harvest heads when mature.",Refrigerate.,"Vitamins C, K, fiber.","Salads, coleslaw, stir-fries."
Kohlrabi,https://images.pexels.com/photos/6631955/pexels-photo-6631955.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Brassica oleracea var. gongylodes,"Stem vegetable with a mild, sweet flavor.",Europe,"Cool, well-drained soil",Sow seeds directly or transplant seedlings.,"Water regularly, harvest bulbs when young.",Refrigerate.,"Vitamins C, fiber.","Salads, stir-fries, roasted."
Beetroot,https://images.pexels.com/photos/5758604/pexels-photo-5758604.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Beta vulgaris,"Root vegetable with a sweet, earthy flavor.",Mediterranean,"Cool, well-drained soil",Sow seeds directly.,"Water regularly, harvest roots and leaves.",Refrigerate.,"Vitamins C, folate, nitrates.","Salads, roasted, pickled."
Endive,https://images.pexels.com/photos/5386694/pexels-photo-5386694.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Cichorium endivia,Leafy vegetable with a slightly bitter flavor.,Mediterranean,"Cool, well-drained soil",Sow seeds directly or transplant seedlings.,"Water regularly, harvest heads when mature.",Refrigerate.,"Vitamins A, K, fiber.","Salads, braised."
Arugula,https://images.pexels.com/photos/4519012/pexels-photo-4519012.jpeg?auto=compress&cs=tinysrgb&w=600,Eruca vesicaria,Leafy green with a peppery flavor.,Mediterranean,"Cool, well-drained soil",Sow seeds directly.,"Water regularly, harvest leaves as needed.",Refrigerate.,"Vitamins A, C, K.","Salads, pizza topping."
Dill,https://images.pexels.com/photos/8599714/pexels-photo-8599714.jpeg?auto=compress&cs=tinysrgb&w=600,Anethum graveolens,Aromatic herb with a feathery foliage.,Mediterranean,"Cool, well-drained soil",Sow seeds directly.,"Water regularly, harvest leaves and seeds.",Refrigerate or dry.,"Vitamins A, C, calcium.","Pickles, sauces, fish dishes."
Lettuce,https://images.pexels.com/photos/5589058/pexels-photo-5589058.jpeg?auto=compress&cs=tinysrgb&w=600,Lactuca sativa,Leafy vegetable with a variety of textures and flavors.,Mediterranean,"Cool, well-drained soil",Sow seeds directly or transplant seedlings.,"Water regularly, harvest leaves as needed.",Refrigerate.,"Vitamins A, K.","Salads, sandwiches."
Corn,https://images.pexels.com/photos/3302501/pexels-photo-3302501.jpeg?auto=compress&cs=tinysrgb&w=600,Zea mays,Cereal grain with sweet kernels.,Americas,"Warm, sunny conditions",Sow seeds directly.,"Water regularly, harvest ears when kernels are plump.",Refrigerate or freeze.,"Fiber, vitamins, carbohydrates.","Boiled, grilled, cornbread."
Onion,https://images.pexels.com/photos/7456550/pexels-photo-7456550.jpeg?auto=compress&cs=tinysrgb&w=600,Allium cepa,Pungent bulb used for flavoring.,Central Asia,"Cool, well-drained soil",Sow seeds or transplant seedlings.,"Water regularly, harvest bulbs when mature.","Store in a cool, dry place.","Vitamins C, quercetin.","Soups, stews, stir-fries."
Garlic,https://images.pexels.com/photos/4197447/pexels-photo-4197447.jpeg?auto=compress&cs=tinysrgb&w=600,Allium sativum,Pungent bulb used for flavoring.,Central Asia,"Cool, well-drained soil",Plant cloves.,"Water regularly, harvest bulbs when mature.","Store in a cool, dry place.","Allicin, antioxidants.","Flavoring, sauces, roasted."
Peanut,https://images.pexels.com/photos/135755/pexels-photo-135755.jpeg?auto=compress&cs=tinysrgb&w=600,Arachis hypogaea,Legume with edible seeds.,South America,"Warm, sunny conditions",Sow seeds directly.,"Water regularly, harvest pods when mature.","Store in a cool, dry place.","Protein, fiber, healthy fats.","Eaten raw, roasted, peanut butter."
Potato,https://images.pexels.com/photos/4110462/pexels-photo-4110462.jpeg?auto=compress&cs=tinysrgb&w=600,Solanum tuberosum,Starchy tuber used as a staple food.,Americas,"Cool, well-drained soil",Plant seed potatoes.,"Water regularly, harvest tubers when mature.","Store in a cool, dry place.","Carbohydrates, vitamin C, potassium.","Boiled, mashed, fries."
Rosemary,https://images.pexels.com/photos/30856378/pexels-photo-30856378/free-photo-of-close-up-of-sunlit-rosemary-plant-outdoors.jpeg?auto=compress&cs=tinysrgb&w=600,Rosmarinus officinalis,Aromatic herb with needle-like leaves.,Mediterranean,"Cool, well-drained soil",Plant seedlings or cuttings.,"Water regularly, harvest leaves as needed.",Refrigerate or dry.,"Vitamins A, C, iron.","Roasted meats, sauces, teas."
Jasmine,https://images.pexels.com/photos/708900/pexels-photo-708900.jpeg?auto=compress&cs=tinysrgb&w=600,Jasminum spp.,Flowering vine with a fragrant aroma.,Asia,"Warm, sunny conditions",Plant cuttings or layers.,"Water regularly, harvest flowers.",Dry.,"Essential oils, aromatherapy.","Teas, aromatherapy."
Bougainvillea,https://images.pexels.com/photos/4327651/pexels-photo-4327651.jpeg?auto=compress&cs=tinysrgb&w=600,Bougainvillea spp.,Flowering vine with colorful bracts.,South America,"Warm, sunny conditions",Plant cuttings or layers.,Water regularly.,N/A,N/A,Ornamental plant.
Spring Onion,https://images.pexels.com/photos/10041307/pexels-photo-10041307.jpeg?auto=compress&cs=tinysrgb&w=600,Allium fistulosum,Mild onion with edible green stalks.,Asia,"Cool, well-drained soil",Sow seeds or transplant seedlings.,"Water regularly, harvest stalks as needed.",Refrigerate.,"Vitamins A, C, K.","Salads, stir-fries, garnishes."
Curry Leaves,https://st2.depositphotos.com/1354142/5975/i/450/depositphotos_59751043-stock-photo-curry-leaf-curry-tree.jpg,Murraya koenigii,Aromatic leaves used in Indian cuisine.,India,"Warm, sunny conditions",Plant seedlings or cuttings.,"Water regularly, harvest leaves as needed.",Refrigerate or dry.,"Vitamins A, C, calcium.","Curries, soups, rice dishes."
Money Plant,https://images.pexels.com/photos/14534662/pexels-photo-14534662.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Epipremnum aureum,Trailing vine with heart-shaped leaves.,Southeast Asia,"Warm, humid conditions",Plant cuttings.,Water regularly.,N/A,N/A,Ornamental plant.
Garlic,https://images.pexels.com/photos/26151059/pexels-photo-26151059/free-photo-of-garlic-on-display.jpeg?auto=compress&cs=tinysrgb&w=600,Allium sativum,Pungent bulb used for flavoring.,Central Asia,"Cool, well-drained soil",Plant cloves.,"Water regularly, harvest bulbs when mature.","Store in a cool, dry place.","Allicin, antioxidants.","Flavoring, sauces, roasted."
Broccoli,https://images.pexels.com/photos/10899599/pexels-photo-10899599.jpeg?auto=compress&cs=tinysrgb&w=600,Brassica oleracea var. italica,Cruciferous vegetable with a dense head.,Italy,"Cool, well-drained soil","Sow seeds indoors, transplant seedlings.","Water regularly, harvest heads when compact.",Refrigerate.,"Vitamins C, K, fiber.","Steamed, roasted, salads."
Pineapple,https://images.pexels.com/photos/15759779/pexels-photo-15759779/free-photo-of-pineapple-in-nature.jpeg?auto=compress&cs=tinysrgb&w=600,Ananas comosus,Tropical fruit with a sweet and tangy flavor.,South America,"Warm, humid conditions",Plant crowns or slips.,"Water regularly, harvest when ripe.",Refrigerate.,"Vitamins C, manganese.","Eaten raw, juices, desserts."
Snake Plant,https://images.pexels.com/photos/1383044/pexels-photo-1383044.jpeg?auto=compress&cs=tinysrgb&w=600,Sansevieria trifasciata,Air-purifying succulent with upright leaves.,Africa,"Warm, dry conditions",Plant cuttings or divisions.,Water sparingly.,N/A,N/A,Ornamental plant.
Dragon Fruit,https://images.pexels.com/photos/1437598/pexels-photo-1437598.jpeg?auto=compress&cs=tinysrgb&w=600,Hylocereus spp.,Tropical fruit with a vibrant pink or white flesh.,Central America,"Warm, dry conditions",Plant cuttings.,"Water regularly, harvest when ripe.",Refrigerate.,"Vitamins C, fiber.","Eaten raw, smoothies, salads."
Spider Plant,https://images.pexels.com/photos/6996350/pexels-photo-6996350.jpeg?auto=compress&cs=tinysrgb&w=600,Chlorophytum comosum,Air-purifying plant with arching leaves and plantlets.,South Africa,"Warm, humid conditions",Plant plantlets.,Water regularly.,N/A,N/A,Ornamental plant.
Rose,https://images.pexels.com/photos/5706063/pexels-photo-5706063.jpeg?auto=compress&cs=tinysrgb&w=600,Rosa spp.,Flowering shrub with fragrant blossoms.,Asia,"Cool, well-drained soil",Plant seedlings or cuttings.,"Water regularly, harvest flowers.",Dry.,Vitamin C (rose hips).,"Jams, teas, perfumes."
Guava,https://images.pexels.com/photos/4400282/pexels-photo-4400282.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Psidium guajava,Tropical fruit with a sweet and aromatic flavor.,Central America,"Warm, humid conditions",Plant seedlings or cuttings.,"Water regularly, harvest when ripe.",Refrigerate.,"Vitamins C, fiber.","Eaten raw, juices, jams."
Passion Fruit,https://images.pexels.com/photos/5946097/pexels-photo-5946097.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Passiflora edulis,Tropical fruit with a tangy and aromatic flavor.,South America,"Warm, humid conditions",Plant seedlings or cuttings.,"Water regularly, harvest when ripe.",Refrigerate.,"Vitamins A, C, fiber.","Eaten raw, juices, desserts."
Grape,https://images.pexels.com/photos/5945853/pexels-photo-5945853.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Vitis vinifera,Berry fruit grown on vines.,Europe,"Warm, sunny conditions",Plant cuttings or seedlings.,"Water regularly, harvest when ripe.",Refrigerate.,"Vitamins K, antioxidants.","Eaten raw, juices, wine."
Lime,https://images.pexels.com/photos/2363347/pexels-photo-2363347.jpeg?auto=compress&cs=tinysrgb&w=600,Citrus aurantiifolia,Citrus fruit with a sour and acidic flavor.,Southeast Asia,"Warm, sunny conditions",Plant seedlings or cuttings.,"Water regularly, harvest when ripe.",Refrigerate.,"Vitamin C, citric acid.","Juices, sauces, flavoring."
Amla,https://images.pexels.com/photos/9089667/pexels-photo-9089667.jpeg?auto=compress&cs=tinysrgb&w=600,Phyllanthus emblica,"Small, sour fruit rich in vitamin C.",India,"Warm, sunny conditions",Plant seedlings or cuttings.,"Water regularly, harvest when ripe.",Refrigerate.,"Vitamin C, antioxidants.","Pickles, jams, medicinal uses."
Basil,https://images.pexels.com/photos/12178213/pexels-photo-12178213.jpeg?auto=compress&cs=tinysrgb&w=600,Ocimum basilicum,"Aromatic herb with a sweet, peppery flavor.",India,"Warm, sunny conditions","Sow seeds indoors, transplant seedlings.","Water regularly, harvest leaves before flowering.",Refrigerate or dry.,"Vitamins A, K, antioxidants.","Pesto, sauces, salads."
Cowpea,https://images.pexels.com/photos/12942532/pexels-photo-12942532.jpeg?auto=compress&cs=tinysrgb&w=600,Vigna unguiculata,Legume with edible seeds.,Africa,"Warm, sunny conditions",Sow seeds directly.,"Water regularly, harvest pods when tender.",Refrigerate or freeze.,"Protein, fiber, iron.","Soups, stews, side dishes."
Jamun,https://images.pexels.com/photos/7974816/pexels-photo-7974816.jpeg?auto=compress&cs=tinysrgb&w=600,Syzygium cumini,Dark purple fruit with a sweet and tart flavor.,India,"Warm, humid conditions",Plant seedlings or cuttings.,"Water regularly, harvest when ripe.",Refrigerate.,"Antioxidants, fiber.","Eaten raw, juices, jams."
Mango,https://images.pexels.com/photos/2363345/pexels-photo-2363345.jpeg?auto=compress&cs=tinysrgb&w=600,Mangifera indica,Tropical fruit with a sweet and juicy flesh.,India,"Warm, humid conditions",Plant seedlings or grafts.,"Water regularly, harvest when ripe.",Refrigerate.,"Vitamins A, C, fiber.","Eaten raw, juices, desserts."
Strawberry,https://images.pexels.com/photos/429807/pexels-photo-429807.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Fragaria × ananassa,Sweet and juicy berry fruit.,Europe/Americas,"Cool, well-drained soil",Plant seedlings or runners.,"Water regularly, harvest when ripe.",Refrigerate.,"Vitamin C, antioxidants.","Eaten raw, jams, desserts."